Key,Id,English(en),Japanese (Japan)(ja-JP),Chinese (Traditional)(zh-TW)
any.any.t.1,1,Why do these things look so messy? Is this second-rate show set up incorrectly?,な ぜ こ れ ら の も の は こ ん な に 乱 れ て い る の で す か ？ こ の 二 流 の 番 組 は 設 定 ミ ス で す か ？,為 什 麼 這 些 東 西 看 起 來 這 麼 亂 ？ 這 二 流 的 節 目 是 不 是 設 置 錯 誤 了 ？
any.any.t.2,2,"Alright, calm down, you can do this. You've solved harder puzzles before.",ま あ ま あ 、 落 ち 着 い て 、 あ な た な ら で き る 。 こ れ ま で に も っ と 難 し い 謎 を 解 決 し て き た で し ょ う 。,好 吧 ， 冷 靜 下 來 ， 你 能 做 到 的 ， 你 以 前 也 解 決 過 更 難 的 謎 題 。
any.any.t.3,3,"You know that in some parallel universe, you've already solved this puzzle, right?",あ な た は 、 あ る 並 行 宇 宙 で は こ の 謎 が す で に 解 か れ て い る こ と を 知 っ て い る で し ょ う ？,你 知 道 這 個 謎 題 的 答 案 在 某 個 平 行 宇 宙 裡 已 經 被 你 解 開 了 ， 對 吧 ？
any.any.t.4,4,Freaking out? These puzzles are just mocking you.,崩 壊 し て る の ？ こ れ ら の 謎 は あ な た を か ら か っ て い る だ け だ よ 。,崩 潰 嗎 ？ 這 些 謎 題 在 戲 弄 你 。
any.any.t.5,5,"About to freak out? That's right, just like you did before.",も う す ぐ 崩 壊 し そ う ？ そ う 、 そ れ で い い 、 前 に そ う し た よ う に 。,快 崩 潰 了 嗎 ？ 這 就 對 了 ， 就 像 你 當 初 那 樣 。
any.any.t.6,6,What did you write in the self-introduction on your application form? Puzzle Master?,申 し 込 み 用 紙 の 自 己 紹 介 欄 に 何 て 書 い た の ？ 謎 解 き マ ス タ ー ？,你 報 名 表 的 自 介 寫 的 是 ？ 解 謎 大 師 ？
any.any.t.7,7,"Oh, giving up so soon? I thought you would stick it out till the end.",あ あ 、 こ ん な に 早 く 諦 め る の ？ 最 後 ま で 頑 張 る と 思 っ て い た の に 。,哦 ， 這 麼 快 就 放 棄 了 嗎 ？ 我 以 為 你 會 堅 持 到 底 。
any.any.t.8,8,Do you know what's an infinite loop in code? It's like watching the same thing over and over in the same place for like a dozen times.,無 限 ル ー プ っ て プ ロ グ ラ ム で 何 か 知 っ て る ？ 同 じ 場 所 で 何 度 も 何 度 も 同 じ こ と を 見 て る 感 じ だ よ 。,你 知 道 什 麼 是 無 限 循 環 的 程 式 碼 嗎 ？ 就 像 你 同 個 地 方 看 了 十 幾 遍 差 不 多 意 思 。
demo.door.t.1,9,Will you uncover the truth by opening that door?,そ の 扉 を 開 け れ ば 真 実 が 分 か る の ？,推 開 那 扇 門 就 會 知 道 真 相 了 嗎 ？
demo.door.t.2,10,"Give it another try. Your intelligence is definitely higher than that door's, right?",も う 一 度 試 し て み て 。 き っ と あ な た の 知 能 は そ の 扉 よ り も 高 い は ず で し ょ う ？,再 試 試 ， 你 的 智 商 肯 定 比 這 扇 門 高 ， 有 吧 ？
